Species,Culmen_Length(mm),Culmen_Depth(mm),Flipper_Length(mm),Body_Mass(g),Sex
Adelie Penguin (Pygoscelis adeliae),391,187,181,3750,0
Adelie Penguin (Pygoscelis adeliae),395,174,186,3800,1
Adelie Penguin (Pygoscelis adeliae),403,180,195,3250,1
Adelie Penguin (Pygoscelis adeliae),367,193,193,3450,1
Adelie Penguin (Pygoscelis adeliae),393,206,190,3650,0
Adelie Penguin (Pygoscelis adeliae),389,178,181,3625,1
Adelie Penguin (Pygoscelis adeliae),392,196,195,4675,0
Adelie Penguin (Pygoscelis adeliae),411,176,182,3200,1
Adelie Penguin (Pygoscelis adeliae),386,212,191,3800,0
Adelie Penguin (Pygoscelis adeliae),346,211,198,4400,0
Adelie Penguin (Pygoscelis adeliae),366,178,185,3700,1
Adelie Penguin (Pygoscelis adeliae),387,190,195,3450,1
Adelie Penguin (Pygoscelis adeliae),425,207,197,4500,0
Adelie Penguin (Pygoscelis adeliae),344,184,184,3325,1
Adelie Penguin (Pygoscelis adeliae),460,215,194,4200,0
Adelie Penguin (Pygoscelis adeliae),378,183,174,3400,1
Adelie Penguin (Pygoscelis adeliae),377,187,180,3600,0
Adelie Penguin (Pygoscelis adeliae),359,192,189,3800,1
Adelie Penguin (Pygoscelis adeliae),382,181,185,3950,0
Adelie Penguin (Pygoscelis adeliae),388,172,180,3800,0
Adelie Penguin (Pygoscelis adeliae),353,189,187,3800,1
Adelie Penguin (Pygoscelis adeliae),406,186,183,3550,0
Adelie Penguin (Pygoscelis adeliae),405,179,187,3200,1
Adelie Penguin (Pygoscelis adeliae),379,186,172,3150,1
Adelie Penguin (Pygoscelis adeliae),405,189,180,3950,0
Adelie Penguin (Pygoscelis adeliae),395,167,178,3250,1
Adelie Penguin (Pygoscelis adeliae),372,181,178,3900,0
Adelie Penguin (Pygoscelis adeliae),395,178,188,3300,1
Adelie Penguin (Pygoscelis adeliae),409,189,184,3900,0
Adelie Penguin (Pygoscelis adeliae),364,170,195,3325,1
Adelie Penguin (Pygoscelis adeliae),392,211,196,4150,0
Adelie Penguin (Pygoscelis adeliae),388,200,190,3950,0
Adelie Penguin (Pygoscelis adeliae),422,185,180,3550,1
Adelie Penguin (Pygoscelis adeliae),376,193,181,3300,1
Adelie Penguin (Pygoscelis adeliae),398,191,184,4650,0
Adelie Penguin (Pygoscelis adeliae),365,180,182,3150,1
Adelie Penguin (Pygoscelis adeliae),408,184,195,3900,0
Adelie Penguin (Pygoscelis adeliae),360,185,186,3100,1
Adelie Penguin (Pygoscelis adeliae),441,197,196,4400,0
Adelie Penguin (Pygoscelis adeliae),370,169,185,3000,1
Adelie Penguin (Pygoscelis adeliae),396,188,190,4600,0
Adelie Penguin (Pygoscelis adeliae),411,190,182,3425,0
Adelie Penguin (Pygoscelis adeliae),360,179,190,3450,1
Adelie Penguin (Pygoscelis adeliae),423,212,191,4150,0
Adelie Penguin (Pygoscelis adeliae),396,177,186,3500,1
Adelie Penguin (Pygoscelis adeliae),401,189,188,4300,0
Adelie Penguin (Pygoscelis adeliae),350,179,190,3450,1
Adelie Penguin (Pygoscelis adeliae),420,195,200,4050,0
Adelie Penguin (Pygoscelis adeliae),345,181,187,2900,1
Adelie Penguin (Pygoscelis adeliae),414,186,191,3700,0
Adelie Penguin (Pygoscelis adeliae),390,175,186,3550,1
Adelie Penguin (Pygoscelis adeliae),406,188,193,3800,0
Adelie Penguin (Pygoscelis adeliae),365,166,181,2850,1
Adelie Penguin (Pygoscelis adeliae),376,191,194,3750,0
Adelie Penguin (Pygoscelis adeliae),357,169,185,3150,1
Adelie Penguin (Pygoscelis adeliae),413,211,195,4400,0
Adelie Penguin (Pygoscelis adeliae),376,170,185,3600,1
Adelie Penguin (Pygoscelis adeliae),411,182,192,4050,0
Adelie Penguin (Pygoscelis adeliae),364,171,184,2850,1
Adelie Penguin (Pygoscelis adeliae),416,180,192,3950,0
Adelie Penguin (Pygoscelis adeliae),355,162,195,3350,1
Adelie Penguin (Pygoscelis adeliae),411,191,188,4100,0
Adelie Penguin (Pygoscelis adeliae),359,166,190,3050,1
Adelie Penguin (Pygoscelis adeliae),418,194,198,4450,0
Adelie Penguin (Pygoscelis adeliae),335,190,190,3600,1
Adelie Penguin (Pygoscelis adeliae),397,184,190,3900,0
Adelie Penguin (Pygoscelis adeliae),396,172,196,3550,1
Adelie Penguin (Pygoscelis adeliae),458,189,197,4150,0
Adelie Penguin (Pygoscelis adeliae),355,175,190,3700,1
Adelie Penguin (Pygoscelis adeliae),428,185,195,4250,0
Adelie Penguin (Pygoscelis adeliae),409,168,191,3700,1
Adelie Penguin (Pygoscelis adeliae),372,194,184,3900,0
Adelie Penguin (Pygoscelis adeliae),362,161,187,3550,1
Adelie Penguin (Pygoscelis adeliae),421,191,195,4000,0
Adelie Penguin (Pygoscelis adeliae),346,172,189,3200,1
Adelie Penguin (Pygoscelis adeliae),429,176,196,4700,0
Adelie Penguin (Pygoscelis adeliae),367,188,187,3800,1
Adelie Penguin (Pygoscelis adeliae),351,194,193,4200,0
Adelie Penguin (Pygoscelis adeliae),373,178,191,3350,1
Adelie Penguin (Pygoscelis adeliae),413,203,194,3550,0
Adelie Penguin (Pygoscelis adeliae),363,195,190,3800,0
Adelie Penguin (Pygoscelis adeliae),369,186,189,3500,1
Adelie Penguin (Pygoscelis adeliae),383,192,189,3950,0
Adelie Penguin (Pygoscelis adeliae),389,188,190,3600,1
Adelie Penguin (Pygoscelis adeliae),357,180,202,3550,1
Adelie Penguin (Pygoscelis adeliae),411,181,205,4300,0
Adelie Penguin (Pygoscelis adeliae),340,171,185,3400,1
Adelie Penguin (Pygoscelis adeliae),396,181,186,4450,0
Adelie Penguin (Pygoscelis adeliae),362,173,187,3300,1
Adelie Penguin (Pygoscelis adeliae),408,189,208,4300,0
Adelie Penguin (Pygoscelis adeliae),381,186,190,3700,1
Adelie Penguin (Pygoscelis adeliae),403,185,196,4350,0
Adelie Penguin (Pygoscelis adeliae),331,161,178,2900,1
Adelie Penguin (Pygoscelis adeliae),432,185,192,4100,0
Adelie Penguin (Pygoscelis adeliae),350,179,192,3725,1
Adelie Penguin (Pygoscelis adeliae),410,200,203,4725,0
Adelie Penguin (Pygoscelis adeliae),377,160,183,3075,1
Adelie Penguin (Pygoscelis adeliae),378,200,190,4250,0
Adelie Penguin (Pygoscelis adeliae),379,186,193,2925,1
Adelie Penguin (Pygoscelis adeliae),397,189,184,3550,0
Adelie Penguin (Pygoscelis adeliae),386,172,199,3750,1
Adelie Penguin (Pygoscelis adeliae),382,200,190,3900,0
Adelie Penguin (Pygoscelis adeliae),381,170,181,3175,1
Adelie Penguin (Pygoscelis adeliae),432,190,197,4775,0
Adelie Penguin (Pygoscelis adeliae),381,165,198,3825,1
Adelie Penguin (Pygoscelis adeliae),456,203,191,4600,0
Adelie Penguin (Pygoscelis adeliae),397,177,193,3200,1
Adelie Penguin (Pygoscelis adeliae),422,195,197,4275,0
Adelie Penguin (Pygoscelis adeliae),396,207,191,3900,1
Adelie Penguin (Pygoscelis adeliae),427,183,196,4075,0
Adelie Penguin (Pygoscelis adeliae),386,170,188,2900,1
Adelie Penguin (Pygoscelis adeliae),373,205,199,3775,0
Adelie Penguin (Pygoscelis adeliae),357,170,189,3350,1
Adelie Penguin (Pygoscelis adeliae),411,186,189,3325,0
Adelie Penguin (Pygoscelis adeliae),362,172,187,3150,1
Adelie Penguin (Pygoscelis adeliae),377,198,198,3500,0
Adelie Penguin (Pygoscelis adeliae),402,170,176,3450,1
Adelie Penguin (Pygoscelis adeliae),414,185,202,3875,0
Adelie Penguin (Pygoscelis adeliae),352,159,186,3050,1
Adelie Penguin (Pygoscelis adeliae),406,190,199,4000,0
Adelie Penguin (Pygoscelis adeliae),388,176,191,3275,1
Adelie Penguin (Pygoscelis adeliae),415,183,195,4300,0
Adelie Penguin (Pygoscelis adeliae),390,171,191,3050,1
Adelie Penguin (Pygoscelis adeliae),441,180,210,4000,0
Adelie Penguin (Pygoscelis adeliae),385,179,190,3325,1
Adelie Penguin (Pygoscelis adeliae),431,192,197,3500,0
Adelie Penguin (Pygoscelis adeliae),368,185,193,3500,1
Adelie Penguin (Pygoscelis adeliae),375,185,199,4475,0
Adelie Penguin (Pygoscelis adeliae),381,176,187,3425,1
Adelie Penguin (Pygoscelis adeliae),411,175,190,3900,0
Adelie Penguin (Pygoscelis adeliae),356,175,191,3175,1
Adelie Penguin (Pygoscelis adeliae),402,201,200,3975,0
Adelie Penguin (Pygoscelis adeliae),370,165,185,3400,1
Adelie Penguin (Pygoscelis adeliae),397,179,193,4250,0
Adelie Penguin (Pygoscelis adeliae),402,171,193,3400,1
Adelie Penguin (Pygoscelis adeliae),406,172,187,3475,0
Adelie Penguin (Pygoscelis adeliae),321,155,188,3050,1
Adelie Penguin (Pygoscelis adeliae),407,170,190,3725,0
Adelie Penguin (Pygoscelis adeliae),373,168,192,3000,1
Adelie Penguin (Pygoscelis adeliae),390,187,185,3650,0
Adelie Penguin (Pygoscelis adeliae),392,186,190,4250,0
Adelie Penguin (Pygoscelis adeliae),366,184,184,3475,1
Adelie Penguin (Pygoscelis adeliae),360,178,195,3450,1
Adelie Penguin (Pygoscelis adeliae),378,181,193,3750,0
Adelie Penguin (Pygoscelis adeliae),360,171,187,3700,1
Adelie Penguin (Pygoscelis adeliae),415,185,201,4000,0
